Packet;Channel 1;Channel 2;Channel 3;Channel 4;Channel 5;Channel 6
786916;426549610;418345412;-9247458;842675;22839820;74249783
786917;-336928260;-334198792;-9236795;839381;22852347;32902353
786918;19915869;21630515;-9236181;820885;22834909;70777002
786919;268960102;261187374;-9232183;841433;22868194;36610261
786920;-446929710;-440016733;-9220526;843059;22860215;66808405
786921;335993681;331247389;-9243899;833501;22848597;40736550
786922;-76832529;-79434726;-9223432;881962;22868441;62546329
786923;-264681877;-258709427;-9228821;864298;22847957;45188872
786924;419007355;410445333;-9230208;860228;22833544;57988053
786925;-378595281;-374816827;-9243276;851707;22853499;49801390
786926;87485205;87981098;-9223522;873984;22865143;53330948
786927;213178999;206031185;-9250184;863552;22857331;54462536
786928;-434072601;-426955481;-9236966;869674;22834436;48657668
786929;373306965;367497254;-9221431;883835;22863598;59082295
786930;-143311816;-144746717;-9252215;860556;22856072;44089864
786931;-206036420;-200857894;-9224358;871624;22864298;63576268
786932;401030988;392293448;-9261017;848844;22827938;39712298
786933;-411271867;-406564023;-9235558;859746;22865962;67813661
786934;152641962;151898969;-9209352;873655;22848546;35657745
786935;151969753;145633390;-9247662;857378;22850662;71670092
786936;-410959441;-403793002;-9232140;849459;22835063;32028462
786937;401233467;394545373;-9243524;859046;22851259;75022400
786938;-206630370;-206809514;-9242278;856776;22860467;28896435
786939;-142677316;-138358459;-9232934;859613;22851255;77883899
786940;373031360;364332898;-9240964;863859;22844057;26328290
786941;-434293435;-428734284;-9235776;860898;22826060;80141926
786942;213811353;211835916;-9229713;852480;22825058;24432345
786943;86772164;81423330;-9255846;854711;22856183;81708117
786944;-378176226;-371107840;-9236629;850483;22849002;23223590
786945;419124044;411699430;-9233834;855052;22863628;82552093
786946;-265247782;-264181713;-9277508;827285;22846907;22715046
786947;-76164151;-72853768;-9220049;868595;22873621;82703052
786948;335591257;327163310;-9261290;843272;22852066;22922692
786949;-447022058;-440781393;-9270643;842606;22851379;82143722
786950;269484224;266306423;-9216857;870502;22896981;23869666
786951;19209250;14922205;-9265536;843665;22868825;80833664
786952;-336455488;-329738244;-9251020;841779;22858419;25530193
786953;426556296;418493273;-9259251;847854;22854301;78824384
786954;-317640179;-315428288;-9260701;853875;22859886;27863424
786955;-7959411;-5789149;-9225348;867106;22873467;76214732
786956;289806920;281785036;-9269009;857553;22866641;30762359
786957;-449087372;-442351842;-9241126;875980;22874773;73050427
786958;318376580;314033578;-9233143;855697;22875404;34190434
786959;-49160119;-52288981;-9250414;853397;22863368;69351965
786960;-286895355;-280689557;-9237580;859605;22862331;38108791
786961;423332599;414856900;-9253811;855091;22860279;65252134
786962;-362655876;-359305638;-9216917;911577;22914986;42372778
786963;60083622;61090316;-9218606;870254;22874474;60869081
786964;236622562;229213717;-9264017;843511;22851204;46875225
786965;-440575351;-433492919;-9239108;854003;22826909;56287526
786966;359208507;353840695;-9243268;879104;22844680;51506816
786967;-116511091;-118415680;-9245559;871859;22849979;51597572
786968;-230590737;-225053290;-9228181;874828;22850312;56193672
786969;409595246;400921787;-9232145;876040;22846429;46937386
786970;-399115136;-394741811;-9260450;845909;22850773;60794035
786971;126470280;126255180;-9239539;850542;22862839;42409480
786972;177428450;170795622;-9230050;872456;22889617;65159641
786973;-421646728;-414430993;-9263466;838741;22842538;38177890
786974;391022131;384721075;-9207044;886950;22900582;69278054
786975;-181295385;-181949457;-9262839;850005;22857907;34294007
786976;-168963712;-164252147;-9256994;853742;22845888;72974088
786977;385589073;376893341;-9249873;868710;22873254;30821252
786978;-426131379;-420881267;-9234018;872780;22889160;76196778
786979;189436334;187983304;-9258171;841527;22843438;27899050
786980;113675609;107937629;-9264546;857305;22862984;78803810
786981;-392676633;-385533149;-9222126;881378;22872622;25587528
786982;413084061;405941452;-9255466;848742;22856546;80774929
786983;-242005798;-241424614;-9251712;867656;22867234;23923110
786984;-103518967;-99755741;-9236014;855441;22866197;82118216
786985;351918408;343379677;-9262779;867315;22855022;22924010
786986;-443096247;-437074163;-9233877;877354;22864183;82731276
786987;247530892;244873437;-9222297;884394;22882414;22708748
786988;46851921;42156714;-9264409;861367;22869312;82601335
786989;-354517457;-347597700;-9228070;872068;22872780;23222246
786990;424799923;417019511;-9232115;883396;22889762;81747822
786991;-297106952;-295324100;-9254080;861017;22878523;24442346
786992;-35821085;-33155494;-9234291;877491;22858965;80169523
786993;309411630;301222749;-9252774;877077;22877047;26314914
786994;-449544008;-442954888;-9243579;873258;22865015;77963366
786995;299302848;295478937;-9231398;878101;22890248;28836373
786996;-21302195;-24876369;-9282222;838562;22852249;75118173
786997;-307956509;-301471522;-9239812;867123;22876684;31968691
786998;425953574;417677747;-9234717;872140;22886016;71706350
786999;-345280034;-342359880;-9279539;831266;22856486;35618862
787000;32493875;33995473;-9206438;868872;22881088;67861504
787001;259087684;251421474;-9272064;851643;22856294;39633706
787002;-445352149;-438386675;-9256857;866163;22873169;63653367
787003;343558340;338604108;-9237533;869038;22865198;43976093
787004;-89291929;-91705083;-9270677;833501;22847317;59179050
787005;-254274240;-248448994;-9232405;840866;22859020;48580825
787006;416477013;407857971;-9260979;840076;22840520;54551846
787007;-385316970;-381351513;-9235293;870199;22897288;53265326
787008;99730419;100025237;-9229196;864418;22886481;49857356
787009;202233745;195265809;-9267750;841629;22880469;57914688
787010;-430569557;-423393966;-9237171;868654;22867818;45266952
787011;379193932;373225915;-9247240;850730;22872768;62434389
787012;-155319654;-156495927;-9248430;879603;22878101;40855616
787013;-194651997;-189580394;-9246131;854976;22849399;66757201
787014;396562188;387848674;-9242077;859938;22855005;36693866
